company,title,count,title_norm,manual_department
AmeriCredit,Area General Manager,21,area general manager,
Vanguard,Senior Recruiter,23,senior recruiter,
Greystar,Property Accountant,27,property accountant,
JPMorgan Chase & Co.,Mortgage Loan Specialist,12,mortgage loan specialist,
Itaú Unibanco,Gerente de Relacionamento Uniclass,61,gerente de relacionamento uniclass,
Combined Insurance United States,Sales Representative,28,sales representative,
Citigroup,Sales and Trading Analyst,12,sales and trading analyst,
JPMorgan Chase,Customer Service Advisor,41,customer service advisor,
Bremer Bank,Mortgage Banker,21,mortgage banker,
Allstate,Insurance Adjuster,124,insurance adjuster,
HSBC,Financial Consultant,75,financial consultant,
E*TRADE,Financial Services,17,financial services,
UPS,Sales Support Representative,14,sales support representative,
Lloyds Banking Group,Scrum Master,14,scrum master,
Progressive Insurance,Resolution Specialist,65,resolution specialist,
Aetna,SUPERVISOR,15,supervisor,
NYPD,Sergeant,21,sergeant,
Citi,Trade Specialist,28,trade specialist,
Covansys,Senior Consultant,43,senior consultant,
HSBC Private Banking,Vice President,15,vice president,
Cambridge Associates,Investment Director,25,investment director,
E*TRADE,Associate Financial Representative,26,associate financial representative,
Verizon Wireless,Assistant Sales Manager,15,assistant sales manager,
HEB,Bookkeeper,27,bookkeeper,
Target,Presentation Team Member,32,presentation team member,
US Bank,Administrative Assistant,170,administrative assistant,
Regions Financial Corporation,Financial Service Specialist III,16,financial service specialist iii,
Ally,Operations Associate,20,operations associate,
US Bank,District Operations Manager,30,district operations manager,
Great Western Bank,Customer Service Representative,34,customer service representative,
MidAmerica Bank,Bank Teller,12,bank teller,
HSBC,Operation Assistant,36,operation assistant,
North Dakota State University,Resident Assistant,12,resident assistant,
Goldman Sachs,Quantitative strategist,71,quantitative strategist,
Capital One,Operations Coordinator,39,operations coordinator,
"Expedia, Inc.",Software Engineer,16,software engineer,
Realty Austin,Realtor,14,realtor,
Credit Suisse,Product Manager,88,product manager,
Bank of America Merrill Lynch,"Assistant Vice President, Financial Solutions Advisor",59,assistant vice president financial solutions advisor,
Liberty Mutual Insurance,Claims Customer Care Associate,13,claims customer care associate,
First Data Merchant Services,Account Executive,51,account executive,
HomeAdvisor,Online Marketing Consultant,22,online marketing consultant,
TIAA,Associate Director,44,associate director,
Infosys Limited,Senior Systems Engineer,68,senior systems engineer,
Tata Consultancy Services,Assistant System Engineer - Trainee,63,assistant system engineer - trainee,
HSBC,Cari hesaplar yetkilisi,12,cari hesaplar yetkilisi,
CIBC,directrice de centre bancaire,15,directrice de centre bancaire,
Vinson & Elkins,Associate,19,associate,
TCF Bank,Loan Processor,26,loan processor,
State Street,Financial Reporting Supervisor,21,financial reporting supervisor,
WoodmenLife,Sales Representative,12,sales representative,
TA Associates,Growth Equity Investor,16,growth equity investor,
GE Capital,Lead Accountant,20,lead accountant,
Comerica Bank,Business Banker,15,business banker,
State Farm,Sales Agent,207,sales agent,
Mutual of Omaha,Distribution Services Analyst,15,distribution services analyst,
Security Service Federal Credit Union,Member Service Representative,16,member service representative,
Morgan Stanley Fund Services,Vice President,13,vice president,
Northwestern Mutual,Practice Management Consultant,31,practice management consultant,
Waterway Gas & Wash,Line Associate,22,line associate,
Von Maur,Department Manager,51,department manager,
Nationwide Insurance,Non-Injury Liability Claims Adjuster,14,non-injury liability claims adjuster,
Agilent Technologies,Business Process Analyst,13,business process analyst,
Freddie mac,Analyst,20,analyst,
SunTrust Bank,IT Project Manager,14,it project manager,
Enterprise Fleet Management,Account Fleet Coordinator,25,account fleet coordinator,
State Farm ®,Marketing Team Member,16,marketing team member,
Luxoft,Senior Software Developer,89,senior software developer,
HSBC,Premier Client Consultant,33,premier client consultant,
UBS,Authorization Officer,16,authorization officer,
MetLife,Sales Supervisor,23,sales supervisor,
First Tennessee Bank,Financial Analyst,19,financial analyst,
Bank of the West,Area Manager,20,area manager,
Citi,Area Sales Manager,69,area sales manager,
HSBC,Project Management Intern,15,project management intern,
Charles Schwab,Conversion Analyst,21,conversion analyst,
Allstate,Adjuster,146,adjuster,
Insight,Client Director,42,client director,
New York Life Insurance Company,Senior Application Specialist,21,senior application specialist,
JPMorgan Chase & Co.,Lead Teller,262,lead teller,
TCS,Systems Engineer,67,systems engineer,
MetLife,Ejecutiva Comercial,68,ejecutiva comercial,
JPMorgan Chase & Co.,Relationship Manager II,33,relationship manager ii,
Morgan Stanley,Equity Capital Markets Summer Analyst,20,equity capital markets summer analyst,
Jpmorgan chase & co.,Assistant financial center manager,26,assistant financial center manager,
Michael Page,Senior Consultant,48,senior consultant,
Nationwide Building Society,Programme Manager,27,programme manager,
Wells Fargo,Information Security Analyst,374,information security analyst,
Blue Ridge Bank and Trust Co.,Bank Teller,15,bank teller,
CAPITAL ONE BANK,BANKER,58,banker,
Capital One,Executive Response Coordinator,64,executive response coordinator,
Deloitte Canada,Consultant,87,consultant,
Wells Fargo,Loan Documentation Specialist IV,19,loan documentation specialist iv,
KPMG,Assistant Auditor,23,assistant auditor,
Credit Suisse,Summer Technology Analyst,41,summer technology analyst,
GE Capital,FP&A Analyst,71,fp&a analyst,
CIBC,Senior Business Systems Analyst,34,senior business systems analyst,
HSBC,Remediation Analyst,35,remediation analyst,
adidas,Sales Representative,15,sales representative,
Cybage,Sr. Software Engineer,32,sr software engineer,
DHR International,Research Associate Intern,13,research associate intern,
Deloitte,Corporate Finance,18,corporate finance,
The UPS Store,Customer Service Associate,15,customer service associate,
company,architect,13,architect,
Renasant Bank,Senior Mortgage Banker,18,senior mortgage banker,
Toastmasters International,Vice President of Public Relations,13,vice president of public relations,
Sopra Steria Consulting,Consultant,20,consultant,
Wells Fargo,Senior Securities Analyst III,12,senior securities analyst iii,
Greenwich Associates,Customer Experience Representative,33,customer experience representative,
Northwestern Mutual,Summer Analyst,13,summer analyst,
Nomura,M&A Analyst Intern,13,m&a analyst intern,
J.P. Morgan,Student Ambassador,117,student ambassador,
Itaú Unibanco,Analyst,14,analyst,
Merrill Lynch,MD,30,md,
Weichert Realtors,Realtor,69,realtor,
AmSouth Bank,Vice President,78,vice president,
SNL Financial,Financial Analyst,13,financial analyst,
Fidelity Investments,IT Consultant,22,it consultant,
TD,Assistant Manager,446,assistant manager,
Farmers Insurance,Insurance Adjuster,87,insurance adjuster,
Infosys Technologies Limited,Systems Engineer,21,systems engineer,
Axos Bank,Credit Analyst,12,credit analyst,
Suffolk County National Bank,Vice President,19,vice president,
